#domain,ioc,uri_path,ip
didol.lesbaguettes.net,Possible Cobalt Strike C2 Fronted Domain,/__utm.gif,139.59.48.174
didol.lesbaguettes.net,Possible Cobalt Strike C2 Fronted Domain,/__utm.gif,142.93.209.88
diligent-health.org,Possible Cobalt Strike C2 Domain,/pixel.gif,18.132.46.179
djqocq93lu1t3.cloudfront.net,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,35.178.239.12
dns.163microsoft.com,Possible Cobalt Strike C2 Domain,/_/scs/mail-static/_/js/,101.36.111.47
dns.163microsoft.com,Possible Cobalt Strike C2 Domain,/_/scs/mail-static/_/js/,152.32.135.165
dns.4p0cryph0n.com,Possible Cobalt Strike C2 Domain,/__utm.gif,172.105.61.144
dns.checkavail.space,Possible Cobalt Strike C2 Domain,/maps/overlaybfpr,191.101.44.35
dns.cityoall.com,Possible Cobalt Strike C2 Domain,/updates.rss,94.20.88.63
dns.cityoall.com,Possible Cobalt Strike C2 Domain,/visit.js,94.20.88.63
dns.e-twfpg.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,35.78.228.147
dns.firebaseapps.com,Possible Cobalt Strike C2 Domain,/design/dfbox/list.jpg,94.131.106.164
dns.matersystem.net,Possible Cobalt Strike C2 Domain,/owa/iTPqqcX7PzeMlqIY3CsBBRj9db9,185.92.222.77
dns.menasys.net,Possible Cobalt Strike C2 Domain,/owa/P6MMyL7sF0NfXRJ9A7GQIYlbddF5zAU9YhS,144.172.74.56
dns.storelln.net,Possible Cobalt Strike C2 Domain,/owa/zTQfLK62A42MjpO0aOQn0Y2N1e,45.32.161.243
dns.systemclear.net,Possible Cobalt Strike C2 Domain,/owa/zTQfLK62A42MjpO0aOQn0Y2N1e,95.179.190.187
dns.teslahelp.icu,Possible Cobalt Strike C2 Domain,/s/58462514417,185.115.207.206
dns.updaten1.online,Possible Cobalt Strike C2 Domain,/visit.js,3.25.149.198
dns.winsdesignater.com,Possible Cobalt Strike C2 Domain,/owa/zTQfLK62A42MjpO0aOQn0Y2N1e,172.86.68.44
dompetdhuaafa.biz.id,Possible Cobalt Strike C2 Fronted Domain,/dhl,159.223.36.127
dompetdhuaafa.biz.id,Possible Cobalt Strike C2 Fronted Domain,/ee,159.223.36.127
dongjin.meidu.icu,Possible Cobalt Strike C2 Domain,/pixel.gif,43.130.237.21
